team,year,q1_record,q2_record,q3_record,q4_record,sd_record
Columbus Blue Jackets,2016,0.35,0.4,0.45,0.45454545454545453,0.26565450127860957
Vancouver Canucks,2016,0.35,0.4,0.45,0.3181818181818182,0.2819537796950016
Edmonton Oilers,2016,0.35,0.45,0.3,0.4090909090909091,0.28427448614160644
Toronto Maple Leafs,2016,0.35,0.45,0.25,0.36363636363636365,0.29774288647469144
Washington Capitals,2017,0.65,0.65,0.75,0.6363636363636364,0.15378825197745435
Pittsburgh Penguins,2017,0.6,0.7,0.6,0.5454545454545454,0.18254400578925287
Chicago Blackhawks,2017,0.65,0.5,0.7,0.5909090909090909,0.18954054931520786
Columbus Blue Jackets,2017,0.55,0.85,0.55,0.5,0.22192341021172146
Minnesota Wild,2017,0.55,0.75,0.7,0.4090909090909091,0.22247202442755035
Anaheim Ducks,2017,0.45,0.55,0.55,0.6818181818181818,0.2141531467149943
Edmonton Oilers,2017,0.55,0.45,0.6,0.6818181818181818,0.20964846610181284
Montreal Canadiens,2017,0.7,0.55,0.35,0.6818181818181818,0.23759730499069845
New York Rangers,2017,0.7,0.6,0.65,0.4090909090909091,0.21398424287397216
St Louis Blues,2017,0.55,0.5,0.5,0.6818181818181818,0.21121451239896816
San Jose Sharks,2017,0.55,0.65,0.55,0.5,0.203100960115899
Ottawa Senators,2017,0.6,0.5,0.55,0.5,0.21095023109728986
Toronto Maple Leafs,2017,0.4,0.55,0.45,0.5454545454545454,0.2384219816256757
Boston Bruins,2017,0.55,0.45,0.5,0.6363636363636364,0.2194329657236601
New York Islanders,2017,0.3,0.5,0.65,0.5454545454545454,0.25761942588834663
Tampa Bay Lightning,2017,0.6,0.35,0.4,0.6818181818181818,0.25932206594175033
Calgary Flames,2017,0.4,0.65,0.45,0.6818181818181818,0.2372143780571169
Nashville Predators,2017,0.5,0.35,0.6,0.5454545454545454,0.24262680930812516
Philadelphia Flyers,2017,0.45,0.55,0.4,0.5,0.24135036772294338
Winnipeg Jets,2017,0.45,0.45,0.4,0.6363636363636364,0.24774603765459846
Carolina Hurricanes,2017,0.4,0.5,0.35,0.5,0.2598076211353316
Los Angeles Kings,2017,0.5,0.5,0.45,0.45454545454545453,0.23549666172994982
Florida Panthers,2017,0.5,0.35,0.55,0.3181818181818182,0.27319278453257356
Dallas Stars,2017,0.4,0.4,0.35,0.5,0.2683281572999748
Detroit Red Wings,2017,0.45,0.4,0.35,0.4090909090909091,0.2696684526973174
Buffalo Sabres,2017,0.35,0.45,0.5,0.3181818181818182,0.27625371617858707
Arizona Coyotes,2017,0.4,0.2,0.45,0.4090909090909091,0.3001790099532759
New Jersey Devils,2017,0.5,0.3,0.45,0.13636363636363635,0.3248648797310116
Vancouver Canucks,2017,0.4,0.55,0.35,0.18181818181818182,0.31071431964065005
Colorado Avalanche,2017,0.45,0.2,0.2,0.22727272727272727,0.34319837407386145
Nashville Predators,2018,0.6,0.55,0.7,0.7272727272727273,0.17467797999237017
Winnipeg Jets,2018,0.6,0.55,0.6,0.7727272727272727,0.18553028756325954
Tampa Bay Lightning,2018,0.75,0.7,0.55,0.6363636363636364,0.1698017804032077
Boston Bruins,2018,0.45,0.7,0.7,0.5909090909090909,0.20230081521019816
Vegas Golden Knights,2018,0.65,0.75,0.6,0.5,0.1903943276465977
Washington Capitals,2018,0.5,0.7,0.5,0.6818181818181818,0.2046565354946212
Toronto Maple Leafs,2018,0.65,0.5,0.6,0.6363636363636364,0.18971487958826552
Anaheim Ducks,2018,0.5,0.4,0.55,0.6818181818181818,0.23222780209551933
Minnesota Wild,2018,0.45,0.6,0.6,0.5454545454545454,0.21085226507189914
Pittsburgh Penguins,2018,0.5,0.45,0.75,0.5909090909090909,0.22257415887372708
San Jose Sharks,2018,0.55,0.5,0.6,0.5454545454545454,0.20483817438639315
Los Angeles Kings,2018,0.6,0.6,0.45,0.5454545454545454,0.21085226507189914
Philadelphia Flyers,2018,0.4,0.45,0.7,0.5,0.24596747752497686
Columbus Blue Jackets,2018,0.6,0.5,0.4,0.6818181818181818,0.22917386665373693
New Jersey Devils,2018,0.6,0.5,0.45,0.5909090909090909,0.21714716798057365
Florida Panthers,2018,0.35,0.5,0.6,0.6818181818181818,0.24275450987801586
Colorado Avalanche,2018,0.55,0.5,0.55,0.5,0.21389249636207439
St Louis Blues,2018,0.7,0.45,0.55,0.45454545454545453,0.22988049356636167
Dallas Stars,2018,0.5,0.6,0.6,0.36363636363636365,0.23720131283346085
Calgary Flames,2018,0.6,0.4,0.5,0.3181818181818182,0.26589937822199394
Carolina Hurricanes,2018,0.45,0.5,0.4,0.4090909090909091,0.25364288033335697
New York Islanders,2018,0.55,0.45,0.45,0.2727272727272727,0.27351023973458366
Edmonton Oilers,2018,0.35,0.5,0.4,0.5,0.2598076211353316
New York Rangers,2018,0.45,0.6,0.3,0.3181818181818182,0.28718496933434773
Chicago Blackhawks,2018,0.5,0.45,0.3,0.36363636363636365,0.2777194612798205
Vancouver Canucks,2018,0.45,0.35,0.35,0.36363636363636365,0.28109511345791366
Detroit Red Wings,2018,0.5,0.35,0.35,0.2727272727272727,0.2943230080334381
Montreal Canadiens,2018,0.4,0.4,0.35,0.2727272727272727,0.29281336960850607
Arizona Coyotes,2018,0.1,0.35,0.4,0.5454545454545454,0.33255832769953914
Ottawa Senators,2018,0.4,0.3,0.35,0.3181818181818182,0.29668276181305986
Buffalo Sabres,2018,0.25,0.25,0.35,0.36363636363636365,0.3161068707241402
Tampa Bay Lightning,2019,0.7,0.85,0.7,0.7727272727272727,0.12563886328259322
Boston Bruins,2019,0.55,0.55,0.65,0.6363636363636364,0.18639135048920613
Calgary Flames,2019,0.55,0.65,0.65,0.5909090909090909,0.17937563891094782
Washington Capitals,2019,0.5,0.7,0.45,0.6818181818181818,0.21631779499096246
New York Islanders,2019,0.5,0.65,0.6,0.5909090909090909,0.19322192097120258
San Jose Sharks,2019,0.5,0.55,0.7,0.5,0.21213203435596426
Nashville Predators,2019,0.7,0.45,0.55,0.5909090909090909,0.21104325669953802
Toronto Maple Leafs,2019,0.7,0.6,0.5,0.45454545454545453,0.21690916711116545
Pittsburgh Penguins,2019,0.4,0.7,0.5,0.5454545454545454,0.23385027349400972
Carolina Hurricanes,2019,0.45,0.45,0.65,0.6818181818181818,0.22552509893121406
St Louis Blues,2019,0.35,0.5,0.75,0.5909090909090909,0.24889424884363642
Winnipeg Jets,2019,0.6,0.65,0.55,0.5,0.1981161275615895
Columbus Blue Jackets,2019,0.6,0.55,0.55,0.5909090909090909,0.19245585519372255
Montreal Canadiens,2019,0.55,0.5,0.55,0.5454545454545454,0.20841293245195494
Vegas Golden Knights,2019,0.4,0.65,0.55,0.5,0.23075961518428653
Dallas Stars,2019,0.55,0.45,0.5,0.5909090909090909,0.21990324694403426
Colorado Avalanche,2019,0.5,0.45,0.3,0.5909090909090909,0.2634011489900076
Arizona Coyotes,2019,0.45,0.4,0.5,0.5454545454545454,0.2415001326078037
Florida Panthers,2019,0.4,0.45,0.5,0.4090909090909091,0.25364288033335697
Chicago Blackhawks,2019,0.35,0.35,0.55,0.5,0.2669269563007828
Minnesota Wild,2019,0.6,0.4,0.35,0.45454545454545453,0.2626863761815693
Philadelphia Flyers,2019,0.45,0.3,0.65,0.4090909090909091,0.2757521644490703
Vancouver Canucks,2019,0.5,0.4,0.4,0.4090909090909091,0.2595768966785299
Anaheim Ducks,2019,0.4,0.55,0.25,0.5,0.28151376520518495
Edmonton Oilers,2019,0.45,0.5,0.3,0.45454545454545453,0.2674875450873545
New York Rangers,2019,0.5,0.35,0.45,0.2727272727272727,0.28530467982593366
Buffalo Sabres,2019,0.6,0.45,0.35,0.22727272727272727,0.29838753989894107
Detroit Red Wings,2019,0.45,0.3,0.4,0.4090909090909091,0.2784179033855758
New Jersey Devils,2019,0.45,0.35,0.35,0.36363636363636365,0.28109511345791366
Los Angeles Kings,2019,0.35,0.45,0.35,0.36363636363636365,0.28109511345791366
Ottawa Senators,2019,0.45,0.3,0.35,0.3181818181818182,0.2944142524846848
